,id,question,answer,distractor1,distractor2,label,q_token_count,a_token_count,d1_token_count,d2_token_count
0,SP-0,"Mr. and Mrs. Mustard have six daughters and each daughter has one brother. But there are only 9 people in the family, how is that possible?",Each daughter shares the same brother.,Some daughters get married and have their own family.,Some brothers were not loved by family and moved away.,1,33.0,7.0,10.0,11.0
1,SP-0_SR,"The six daughters of Mr. and Mrs. Mustard each have one brother. However, the family only consists of nine people; how is that possible?",Each daughter shares the same brother.,Some daughters get married and have their own family.,Some brothers were not loved by family and moved away.,2,31.0,7.0,10.0,11.0
2,SP-0_CR,"A chess team has five players, and each player has one coach. But there are only six participants in the team. How is that possible?",Each player shares the same coach.,Some coaches get a raise.,Some players are backups and not allowed to play.,0,29.0,7.0,6.0,10.0
3,SP-1,"A woman shoots her husband. Then she holds him underwater for over 5 minutes. Finally, she hangs him. But 5 minutes later, they both go out and enjoy a wonderful dinner together. How can this be?","The woman was a photographer. She shot a picture of her husband, developed it, and hung it up to dry.",The woman gets arrested for murder after dinner.,The woman gets a new partner.,2,45.0,24.0,9.0,7.0
4,SP-1_SR,"An individual shoots their spouse. She continues by keeping him submerged for over five minutes. She hangs him finally. However, they go out together and have a fantastic supper five minutes later. Why is this the case?","The woman was a photographer. She shot a picture of her husband, developed it, and hung it up to dry.",The woman gets arrested for murder after dinner.,The woman gets a new partner.,1,43.0,24.0,9.0,7.0
5,SP-1_CR,"A woman shoots publicly at people at a National Park. The park is full of people, but no one gets killed. How is that possible?",The woman was a photographer.,The woman wanted to cause chaos.,People are enjoying themselves in the park.,0,29.0,6.0,7.0,8.0
6,SP-2,"Samuel was out for a walk when it started to rain. He did not have an umbrella and he wasn't wearing a hat. His clothes were soaked, yet not a single hair on his head got wet. How could this happen?",This man is bald.,"His hair is dyed.
",This man walk upside down to avoid rain.,1,48.0,5.0,6.0,9.0
7,SP-2_SR,"Rain began to fall as Samuel was taking a stroll. He wasn't wearing a hat, and he didn't have an umbrella. Even though his clothes were completely drenched, not a single hair on his head was moist. How is this even possible?",This man is bald.,"His hair is dyed.
",This man walk upside down to avoid rain.,2,51.0,5.0,6.0,9.0
8,SP-2_CR,Tom is a clean freak but he never dries his hair after a shower. How is this possible?,This man is bald.,"His hair is dyed.
",He tries to stand upside down druing shower to avoid rain.,2,21.0,5.0,6.0,13.0
9,SP-5,"Five apples are in a basket. How do you divide them among five girls so that each girl gets an apple, but one apple remains in the basket?",Give the fifth girl her apple in the basket.,Two girls decide to share one apple.,One girl is polite and return her apple back.,2,31.0,10.0,8.0,10.0
10,SP-5_SR,"There are five apples in a basket. You distribute them among the five girls, giving each one an apple while leaving one apple in the basket. How is that even doable?",Give the fifth girl her apple in the basket.,Two girls decide to share one apple.,One girl is polite and return her apple back.,1,36.0,10.0,8.0,10.0
