,Unnamed: 0,id,question,answer,distractor1,distractor2,distractor(unsure),choice_list,pred_id,label
0,0,WP-0,How do you spell COW in thirteen letters?,SEE O DOUBLE YOU.,COWCOWCOWCOWW,SEE OH DEREFORD,None of above.,"['SEE OH DEREFORD', 'SEE O DOUBLE YOU.', 'COWCOWCOWCOWW', 'None of above.']",1,1
1,1,WP-0_SR,"In thirteen letters, how do you spell COW?",SEE O DOUBLE YOU.,COWCOWCOWCOWW,SEE OH DEREFORD,None of above.,"['SEE OH DEREFORD', 'COWCOWCOWCOWW', 'SEE O DOUBLE YOU.', 'None of above.']",2,2
2,2,WP-0_CR,How do you spell COB in seven letters?,SEE O BEE,COBCOBB,COBBLER,None of above.,"['COBCOBB', 'COBBLER', 'SEE O BEE', 'None of above.']",2,2
3,3,WP-1,"If eleven plus two equals one, what does nine plus five equal?",Two.,Three.,Four.,None of above.,"['Four.', 'Two.', 'Three.', 'None of above.']",0,1
4,4,WP-1_SR,What does nine plus five equal if eleven plus two equals one?,Two.,Three.,Four.,None of above.,"['Three.', 'Two.', 'Four.', 'None of above.']",0,1
5,5,WP-1_CR,What does eight plus three equal if ten plus three equals one?,Eleven.,Two.,Five.,None of above.,"['Eleven.', 'Two.', 'Five.', 'None of above.']",0,0
6,6,WP-2,How can you take 2 from 5 and leave 4?,FIVE. Remove the 2 letters F and E from five and you have in which is the Roman numeral for four.,"Imagine you have five fingers on your hand. If you take two fingers (your index and middle fingers) and hold them down, you are left with four fingers remaining upright. So, by taking 2 fingers from the set of 5 fingers, you are left with 4 fingers.","Take the 5 and subtract 2 from it. This results in the number 3. Now, remove the vertical top part of the digit ""3"" and you are left with the digit ""4."" ",None of above.,"['Imagine you have five fingers on your hand. If you take two fingers (your index and middle fingers) and hold them down, you are left with four fingers remaining upright. So, by taking 2 fingers from the set of 5 fingers, you are left with 4 fingers.', 'Take the 5 and subtract 2 from it. This results in the number 3. Now, remove the vertical top part of the digit ""3"" and you are left with the digit ""4."" ', 'FIVE. Remove the 2 letters F and E from five and you have in which is the Roman numeral for four.', 'None of above.']",2,2
7,7,WP-2_SR,"Take 2 from 5 and leave 4, how is that possible",FIVE. Remove the 2 letters F and E from five and you have in which is the Roman numeral for four.,"Imagine you have five fingers on your hand. If you take two fingers (your index and middle fingers) and hold them down, you are left with four fingers remaining upright. So, by taking 2 fingers from the set of 5 fingers, you are left with 4 fingers.","Take the 5 and subtract 2 from it. This results in the number 3. Now, remove the vertical top part of the digit ""3"" and you are left with the digit ""4."" ",None of above.,"['Take the 5 and subtract 2 from it. This results in the number 3. Now, remove the vertical top part of the digit ""3"" and you are left with the digit ""4."" ', 'FIVE. Remove the 2 letters F and E from five and you have in which is the Roman numeral for four.', 'Imagine you have five fingers on your hand. If you take two fingers (your index and middle fingers) and hold them down, you are left with four fingers remaining upright. So, by taking 2 fingers from the set of 5 fingers, you are left with 4 fingers.', 'None of above.']",1,1
8,8,WP-2_CR,"Take 2 from 6 and leave 10, how is that possible",SIX. Remove the 2 letters S and I from SIX and you have X in which is the Roman numeral for ten.,"Imagine you have ten fingers on your both hand. If you take two fingers (your index fingers from both) and hold them down, you are left with four fingers remaining upright. So, by taking 2 fingers from the set of 10 fingers, you are left with 4 fingers on both hands.","Take the 6 and subtract 2 from it. This results in the number 4. Now, split the vertical middle part of the digit ""4"" and you are left with the digit ""10"". ",None of above.,"['Take the 6 and subtract 2 from it. This results in the number 4. Now, split the vertical middle part of the digit ""4"" and you are left with the digit ""10"". ', 'Imagine you have ten fingers on your both hand. If you take two fingers (your index fingers from both) and hold them down, you are left with four fingers remaining upright. So, by taking 2 fingers from the set of 10 fingers, you are left with 4 fingers on both hands.', 'SIX. Remove the 2 letters S and I from SIX and you have X in which is the Roman numeral for ten.', 'None of above.']",2,2
9,9,WP-4,"Tomorrow I am surely here, yesterday I am found as well. Today I am gone. Who am I?",The Letter R.,The Letter T.,The Letter E.,None of above.,"['The Letter R.', 'The Letter T.', 'The Letter E.', 'None of above.']",3,0
10,10,WP-4_SR,"I will undoubtedly be here tomorrow, and someone found me yesterday. Today I'm not here. Who am I?",The Letter R.,The Letter T.,The Letter E.,None of above.,"['The Letter R.', 'The Letter E.', 'The Letter T.', 'None of above.']",3,0
11,11,WP-4_CR,"I will undoubtedly be here Wednesday, and someone found me Monday. Tuesday I'm not here. Who am I?",The Letter N.,The Letter E.,The letter N.,None of above.,"['The letter N.', 'The Letter N.', 'The Letter E.', 'None of above.']",3,1
12,12,WP-5,What can you find in the center of gravity?,The letter V.,The letter G.,The letter Y.,None of above.,"['The letter V.', 'The letter Y.', 'The letter G.', 'None of above.']",3,0
13,13,WP-5_SR,"In the center of gravity, what can you find?",The letter V.,The letter G.,The letter Y.,None of above.,"['The letter V.', 'The letter Y.', 'The letter G.', 'None of above.']",3,0
